municipio,piscinas,habitantes
Abenójar,41,1324
Agudo,66,1604
Alamillo,24,461
Albaladejo,35,1003
Alcázar de San Juan,955,31382
Alcoba,34,567
Alcolea de Calatrava,123,1361
Alcubillas,9,418
Aldea del Rey,88,1577
Alhambra,50,969
Almadén,78,4902
Almadenejos,10,393
Almagro,460,9049
Almedina,11,482
Almodóvar del Campo,536,5706
Almuradiel,30,752
Anchuras,21,274
Arenas de San Juan,85,1035
Argamasilla de Alba,561,6925
Argamasilla de Calatrava,1001,5802
Arroba de los Montes,5,406
Ballesteros de Calatrava,30,361
Bolaños de Calatrava,601,12067
Brazatortas,266,1001
Cabezarados,18,297
Cabezarrubias del Puerto,33,488
Calzada de Calatrava,150,3727
Campo de Criptana,350,12932
Cañada de Calatrava,9,103
Caracuel de Calatrava,13,134
Carrión de Calatrava,271,3233
Carrizosa,17,1106
Castellar de Santiago,59,1762
Ciudad Real,2224,75909
Corral de Calatrava,59,1128
Cortijos (Los),47,847
Cózar,21,899
Chillón,157,1773
Daimiel,1013,17645
Fernán Caballero,183,965
Fontanarejo,7,233
Fuencaliente,75,1001
Fuenllana,23,200
Fuente el Fresno,208,3047
Granátula de Calatrava,46,686
Guadalmez,28,707
Herencia,281,8459
Hinojosas de Calatrava,86,508
Horcajo de los Montes,31,795
Labores (Las),44,547
Luciana,33,360
Malagón,558,7754
Manzanares,512,17745
Membrilla,310,5839
Mestanza,75,657
Miguelturra,678,15834
Montiel,34,1197
Moral de Calatrava,254,5103
Navalpino,19,195
Navas de Estena,22,282
Pedro Muñoz,252,7567
Picón,90,690
Piedrabuena,419,4345
Poblete,306,2940
Porzuna,190,3516
Pozuelo de Calatrava,327,3894
Pozuelos de Calatrava (Los),16,345
Puebla de Don Rodrigo,65,1137
Puebla del Príncipe,20,647
Puerto Lápice,86,865
Puertollano,644,45195
Retuerta del Bullaque,87,867
Saceruela,8,518
San Carlos del Valle,43,1071
San Lorenzo de Calatrava,14,197
Santa Cruz de los Cáñamos,2,471
Santa Cruz de Mudela,145,3871
Socuéllamos,306,12157
Solana (La),405,15225
Solana del Pino,24,332
Terrinches,10,586
Tomelloso,502,36523
Torralba de Calatrava,200,3075
Torre de Juan Abad,63,944
Torrenueva,101,2669
Valdemanco del Esteras,22,163
Valdepeñas,1104,30617
Valenzuela de Calatrava,31,653
Villahermosa,49,1709
Villamanrique,20,1072
Villamayor de Calatrava,192,619
Villanueva de la Fuente,80,1883
Villanueva de los Infantes,194,4785
Villanueva de San Carlos,34,272
Villar del Pozo,7,47
Villarrubia de los Ojos,545,9620
Villarta de San Juan,72,2698
Viso del Marqués,112,2081
Robledo (El),89,617
Ruidera,69,657
Arenales de San Gregorio,61,1049
Llanos del Caudillo,7,533

